name,beer,bar
Samuel Stevenson,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Commonwealth Brewing #1
Jon Schwartz,Heather Ale,Boston Beer Works
Jeffery Todd,Samuel Adams Black Lager,Buzzards Bay Brewing Inc.
Clara Anderson,Samuel Adams Old Fezziwig Ale,Buzzards Bay Brewing Inc.
Myrtle Munoz,Samuel Adams Chocolate Bock,John Harvard's Brew House - Harvard Square
Amy Reese,Heather Ale,Watch City Brewing
Mabelle Shaw,Classic Stout,Watch City Brewing
Mae Diaz,Harpoon UFO Hefeweizen,New Century Brewing Company
Charles Price,Ipswich IPA,John Harvard's Brew House - Harvard Square
Mittie Lawrence,Harpoon UFO Hefeweizen,Wachusetts Brewing Company
Stella Watson,Harpoon Leviathan,Element Brewing Company
Jeff Walsh,Sam Adams Light,Commonwealth Brewing #1
Trevor Stephens,Wilmington Roggen Beer,John Harvard's Brew House - Framingham
Dorothy Griffith,Harpoon Winter Warmer,Boston Beer Works
Charles Palmer,Hard Core Crisp Apple Cider,Element Brewing Company
Max Brock,1084 Barleywine,Element Brewing Company
Mina Gomez,Samuel Adams Coastal Wheat,New Century Brewing Company
Annie Potter,Cascade IPA,Brewery at Martha's Vineyard
Lela Silva,Olde #8 Anniversary Ale,Paper City Brewing Company
Irene Mack,Ipswich IPA,Element Brewing Company
Brandon Holloway,IPA,Cape Ann Brewing
Beatrice Ballard,Green Monsta Ale,Paper City Brewing Company
Willie Frank,Harpoon UFO Hefeweizen,Harpoon Brewery - Boston
Albert Zimmerman,Workingman's Wheat,Boston Beer Company
Henry Matthews,Samuel Adams Irish Red,Brewery at Martha's Vineyard
Estella Cohen,Harpoon Winter Warmer,Element Brewing Company
Francis Malone,Harpoon Munich Dark,Commonwealth Brewing #1
Austin Casey,Regatta Golden,Commonwealth Brewing #1
Don Meyer,Workingman's Wheat,Wachusetts Brewing Company
Devin Simmons,Classic Stout,Commonwealth Brewing #1
Miguel Miles,Samuel Adams Golden Pilsner,Paper City Brewing Company
Leila Mendez,Famous Porter,Buzzards Bay Brewing Inc.
Ethan Parks,Hercules Stong Ale,Paper City Brewing Company
Sadie Pearson,Samuel Adams Summer Ale,Brewery at Martha's Vineyard
Gary Vargas,Samuel Adams Spring Ale,Harpoon Brewery - Boston
Georgie Day,Ipswich Winter,Wachusetts Brewing Company
Wesley Townsend,Green Monsta Ale,John Harvard's Brew House - Framingham
Abbie Thomas,Workingman's Wheat,Wachusetts Brewing Company
Nathan Fuller,Samuel Adams Boston Lager,Mercury Brewing Company
Ernest Grant,Wachusetts IPA,Brewery at Martha's Vineyard
Randall Roberts,Kenmore K̦lsch,New Century Brewing Company
Ivan Hopkins,Cambridge Amber,John Harvard's Brew House - Harvard Square
Maggie Henderson,Dark Element,John Harvard's Brew House - Framingham
Ola Page,Amber Ale,Harpoon Brewery - Boston
Theresa Craig,Samuel Adams Summer Ale,Boston Beer Works
Warren Bowers,Puffers Smoked Porter,Cambridge Brewing
Nannie Norton,Famous Porter,Boston Beer Company
Isaiah Bailey,Samuel Adams Noble Pils,Mercury Brewing Company
Tom Arnold,Heather Ale,Brewery at Martha's Vineyard
Sara Yates,Samuel Adams Imperial Stout,Cape Ann Brewing
Billy Johnson,Classic Stout,Boston Beer Works
Nettie Gilbert,Ipswich Harvest,Watch City Brewing
Henrietta Parsons,Samuel Adams OctoberFest,John Harvard's Brew House - Harvard Square
Beatrice McGee,Harpoon Leviathan,Boston Beer Company
Glenn McKenzie,Ipswich Nut Brown,Element Brewing Company
Ella Christensen,Ipswich Summer,John Harvard's Brew House - Harvard Square
Inez Andrews,Wachusetts IPA,Brewery at Martha's Vineyard
Johnny Collier,Samuel Adams Boston Lager,Boston Beer Company
Jennie Erickson,Bankers Gold,Wachusetts Brewing Company
Augusta Nichols,Samuel Adams Hefeweizen,Harpoon Brewery - Boston
Randy Ballard,Special Old Ale,Boston Beer Company
Nathan Jefferson,Patriots Pilsner,Watch City Brewing
Lydia Blake,Harpoon Celtic Ale,Paper City Brewing Company
Henrietta Brock,Graduation Ale,Cape Ann Brewing
Lewis Burke,Harpoon Celtic Ale,Cambridge Brewing
Bradley Carson,Boltwood Bock,Element Brewing Company
Margaret Banks,Amber Ale,John Harvard's Brew House - Framingham
Hannah Fletcher,Workingman's Wheat,New Century Brewing Company
Jon Romero,North Pleasant Pale Ale,Brewery at Martha's Vineyard
Amy Huff,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Paper City Brewing Company
Adelaide Owens,Edison Light Beer,John Harvard's Brew House - Harvard Square
Sally Goodwin,Sam Adams Light,Buzzards Bay Brewing Inc.
Stella Ball,Samuel Adams Cream Stout,Commonwealth Brewing #1
Lydia Gonzales,Samuel Adams Holiday Porter,John Harvard's Brew House - Harvard Square
Johnny McCarthy,Samuel Adams Cranberry Lambic,Buzzards Bay Brewing Inc.
Todd Rodgers,Samuel Adams Honey Porter,John Harvard's Brew House - Framingham
Marie Sandoval,Fenway American Pale Ale,Commonwealth Brewing #1
Lloyd Rodgers,Samuel Adams OctoberFest,John Harvard's Brew House - Framingham
Andre Reeves,IPA,Commonwealth Brewing #1
Barbara Price,Samuel Adams Triplebock 1994,Brewery at Martha's Vineyard
Bettie West,Samuel Adams Golden Pilsner,New Century Brewing Company
Alex Nash,Longshot Hazelnut Brown,Cape Ann Brewing
Ora Powers,Golden Ale,John Harvard's Brew House - Harvard Square
Daniel Reid,Harpoon UFO Hefeweizen,Brewery at Martha's Vineyard
Raymond Jackson,Charles River Porter,Paper City Brewing Company
Rosetta Briggs,Samuel Adams Coastal Wheat,Element Brewing Company
Lucy Brooks,Two Sisters Imperial Stout,Wachusetts Brewing Company
Zachary Watts,Samuel Adams Noble Pils,Boston Beer Company
Roy Evans,Olde Buzzard Lager,Paper City Brewing Company
Rebecca Garner,Fenway American Pale Ale,New Century Brewing Company
Ina Reeves,Lewmeister Oktoberfest,Cape Ann Brewing
Mildred Pierce,Samuel Adams Coastal Wheat,Boston Beer Works
Alejandro Vasquez,Righteous Red,Boston Beer Works
Ethan Lowe,Samuel Adams Summer Ale,Watch City Brewing
Travis Carr,Samuel Adams Hefeweizen,Brewery at Martha's Vineyard
Ray Munoz,Workingman's Wheat,Watch City Brewing
Myra Gonzales,Olde Buzzard Lager,Boston Beer Company
Delia Lawson,Dark Element,Element Brewing Company
Marcus Clayton,Regatta Golden,Buzzards Bay Brewing Inc.
Herman Dennis,Ipswich Dark Ale,Boston Beer Works
Mamie Guzman,Samuel Adams Cherry Wheat,Buzzards Bay Brewing Inc.
Lida Edwards,Puffers Smoked Porter,Watch City Brewing
Barry Banks,Ipswich Oatmeal Stout,Boston Beer Company
Herman Norton,Harpoon Brown Session Ale,John Harvard's Brew House - Harvard Square
Jack Wilkerson,Samuel Adams Triplebock 1994,Harpoon Brewery - Boston
Irene Morris,UFO Raspberry Hefeweizen,New Century Brewing Company
Derek Newton,Buckeye Oatmeal Stout,Brewery at Martha's Vineyard
Lucas Quinn,Ipswich Summer,Paper City Brewing Company
Jacob Fleming,North Pleasant Pale Ale,Brewery at Martha's Vineyard
Minerva Robinson,Boston Red,Brewery at Martha's Vineyard
Evan Palmer,Samuel Adams Hallertau Imperial Pilsner,Paper City Brewing Company
Christian Bates,Olde Buzzard Lager,Boston Beer Company
Logan Greene,Samuel Adams Boston Ale,Cambridge Brewing
Barbara Malone,Samuel Adams Noble Pils,Boston Beer Works
Steve Ortiz,Ipswich Nut Brown,Paper City Brewing Company
Cameron Higgins,Famous Porter,John Harvard's Brew House - Framingham
Mark Blake,Fenway American Pale Ale,New Century Brewing Company
Roger Glover,Harpoon Brown Session Ale,Commonwealth Brewing #1
Delia Burns,1084 Barleywine,Paper City Brewing Company
Marc Ellis,Samuel Adams Chocolate Bock,Cape Ann Brewing
Steven Strickland,Samuel Adams Cream Stout,Buzzards Bay Brewing Inc.
Florence Bowen,Samuel Adams Brown Ale,Boston Beer Company
Charlie Stevens,Samuel Adams Coastal Wheat,Wachusetts Brewing Company
Larry Porter,Samuel Adams Spring Ale,Harpoon Brewery - Boston
Helena Simmons,Wachusetts IPA,Harpoon Brewery - Boston
Jeremiah Ruiz,Samuel Adams Pale Ale,Brewery at Martha's Vineyard
Ina Schmidt,Bankers Gold,Boston Beer Company
Daniel Atkins,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),John Harvard's Brew House - Harvard Square
Herbert Wilkins,Heather Ale,Buzzards Bay Brewing Inc.
Luis McKenzie,Harpoon Leviathan,Cape Ann Brewing
Joe Patton,Sam Adams Light,Boston Beer Works
Viola Keller,Cambridge Amber,Element Brewing Company
Frederick Sparks,Boltwood Bock,Boston Beer Company
Philip Gibbs,Samuel Adams Pale Ale,New Century Brewing Company
Ethan Day,Ipswich Oatmeal Stout,Mercury Brewing Company
Allen Lynch,Sam Adams Light,Buzzards Bay Brewing Inc.
Victor Schmidt,Samuel Adams Cranberry Lambic,New Century Brewing Company
Herman Beck,Samuel Adams Winter Lager,John Harvard's Brew House - Harvard Square
Georgie Vaughn,Graduation Ale,John Harvard's Brew House - Harvard Square
Virginia Figueroa,Samuel Adams Noble Pils,John Harvard's Brew House - Harvard Square
Essie Ferguson,Harpoon Celtic Ale,Paper City Brewing Company
Luella Carpenter,Samuel Adams Cream Stout,Brewery at Martha's Vineyard
Jay Harper,Regatta Golden,Paper City Brewing Company
Mollie Singleton,North Pleasant Pale Ale,Paper City Brewing Company
Bettie Newton,Harpoon Munich Dark,Harpoon Brewery - Boston
Lettie Banks,Heather Ale,John Harvard's Brew House - Harvard Square
Clifford Sutton,Ipswich Harvest,Brewery at Martha's Vineyard
Francis Harper,Holyoke Dam Ale,Buzzards Bay Brewing Inc.
Cody Austin,Raspberry Brown Ale,Cambridge Brewing
Blanche McKinney,Regatta Golden,Watch City Brewing
Rodney Alvarado,Two Sisters Imperial Stout,Mercury Brewing Company
Hunter Fletcher,Harpoon UFO Hefeweizen,John Harvard's Brew House - Framingham
Elizabeth Bush,Samuel Adams Cream Stout,Cape Ann Brewing
Bernard Rice,Edison Light Beer,Mercury Brewing Company
Mamie Cohen,Fenway American Pale Ale,Paper City Brewing Company
Oscar Padilla,Heather Ale,Commonwealth Brewing #1
Aiden Kim,Honey Pilsner,Brewery at Martha's Vineyard
Jayden Conner,Ipswich Harvest,Paper City Brewing Company
Leila Gill,Golden Ale,Boston Beer Company
Adrian Farmer,Ipswich Summer,Harpoon Brewery - Boston
Clifford Castro,Hops Explosion IPA,Wachusetts Brewing Company
Kathryn Morton,Ipswich Dark Ale,Paper City Brewing Company
Don Dunn,Harpoon UFO Hefeweizen,Boston Beer Company
Nicholas Bowen,1084 Barleywine,Commonwealth Brewing #1
Owen Allen,Ipswich Oatmeal Stout,New Century Brewing Company
Randy Allen,Massatucky Brown,Paper City Brewing Company
Polly Griffith,Kenmore K̦lsch,Element Brewing Company
Clayton Scott,Samuel Adams Double Bock,Harpoon Brewery - Boston
Evelyn Mason,North Pleasant Pale Ale,Boston Beer Works
Janie Bryant,Samuel Adams Winter Lager,John Harvard's Brew House - Harvard Square
Della Bass,Samuel Adams Brown Ale,Boston Beer Works
Fred Hanson,Wilmington Roggen Beer,Cambridge Brewing
Nell Clarke,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Watch City Brewing
Hilda Gilbert,Samuel Adams Blackberry Witbier,John Harvard's Brew House - Harvard Square
Chris Spencer,Harpoon Leviathan,Cape Ann Brewing
Francis Farmer,Classic Stout,John Harvard's Brew House - Framingham
Rena Mason,Patriots Pilsner,Harpoon Brewery - Boston
Janie Cunningham,Green Monsta Ale,Cambridge Brewing
Delia Carter,Samuel Adams Summer Ale,Harpoon Brewery - Boston
Daniel Gonzalez,Longshot American Pale Ale,Watch City Brewing
Susie West,Samuel Adams Pale Ale,Wachusetts Brewing Company
Tyler Coleman,Half in the Bagpipe,Cambridge Brewing
Herman Keller,Massatucky Brown,Cape Ann Brewing
Tom Lyons,Kenmore K̦lsch,New Century Brewing Company
Elmer Rhodes,Wachusetts IPA,Paper City Brewing Company
Georgie Edwards,Samuel Adams Imperial White,Element Brewing Company
Julia Rhodes,Ipswich Winter,Cape Ann Brewing
Melvin Schmidt,Samuel Adams Triplebock 1995,Buzzards Bay Brewing Inc.
Marvin Delgado,Samuel Adams Pale Ale,New Century Brewing Company
Polly Knight,Samuel Adams Old Fezziwig Ale,Boston Beer Works
Owen Lee,Samuel Adams Pale Ale,Mercury Brewing Company
Jorge Graves,Workingman's Wheat,John Harvard's Brew House - Harvard Square
Noah Carson,Ipswich Summer,Harpoon Brewery - Boston
Mabelle Blair,Ipswich Winter,Commonwealth Brewing #1
Lawrence Washington,Wilmington Roggen Beer,Cambridge Brewing
Norman Neal,Holyoke Dam Ale,Mercury Brewing Company
Cornelia Mack,Samuel Adams Honey Porter,Cape Ann Brewing
Sally Thompson,Samuel Adams Scotch Ale,New Century Brewing Company
Justin Cole,Harpoon Leviathan,Boston Beer Company
Arthur Ortega,Longshot Black Lager,Wachusetts Brewing Company
Pearl Fletcher,Samuel Adams Triplebock 1994,Cambridge Brewing
Hunter Wong,Samuel Adams Winter Lager,Boston Beer Company
Frank Goodwin,Famous Porter,Mercury Brewing Company
Cornelia Dixon,Amber Ale,John Harvard's Brew House - Framingham
Shane Holmes,Hard Core Crisp Apple Cider,Brewery at Martha's Vineyard
Marvin Pearson,Kenmore K̦lsch,Watch City Brewing
Steve Hansen,Samuel Adams Noble Pils,New Century Brewing Company
Joseph Singleton,Harpoon Munich Dark,Buzzards Bay Brewing Inc.
Emily Little,Two Sisters Imperial Stout,Wachusetts Brewing Company
Amy Reid,Longshot Hazelnut Brown,New Century Brewing Company
Harriet Bush,Samuel Adams Old Fezziwig Ale,Commonwealth Brewing #1
Albert Burgess,Samuel Adams Honey Porter,Harpoon Brewery - Boston
Abbie Strickland,Fenway American Pale Ale,Cambridge Brewing
Lester Reyes,Longshot Black Lager,Mercury Brewing Company
Blanche Peterson,Ipswich Dark Ale,Wachusetts Brewing Company
Nellie Carr,Samuel Adams Hefeweizen,Boston Beer Works
Virgie Drake,Puffers Smoked Porter,Mercury Brewing Company
Ralph Gonzales,1084 Barleywine,John Harvard's Brew House - Framingham
Cameron Griffin,Amber Ale,Cambridge Brewing
Bobby Burton,Sam Adams Light,Cape Ann Brewing
Irene Wagner,Buckeye Oatmeal Stout,Wachusetts Brewing Company
Adrian Morrison,Samuel Adams Old Fezziwig Ale,Wachusetts Brewing Company
Mathilda Diaz,Samuel Adams Brown Ale,Wachusetts Brewing Company
Adele Butler,Two Sisters Imperial Stout,Element Brewing Company
Rebecca Burgess,Samuel Adams Pale Ale,Boston Beer Works
George Joseph,Ipswich Nut Brown,Boston Beer Works
Thomas Clayton,Harpoon Celtic Ale,Boston Beer Works
Jimmy Munoz,Samuel Adams Irish Red,Boston Beer Works
Jared Cruz,Golden Ale,Mercury Brewing Company
Shane Gibbs,Samuel Adams Cream Stout,John Harvard's Brew House - Framingham
Erik Lynch,Harpoon Munich Dark,Cambridge Brewing
Dennis Dawson,Patriots Pilsner,Boston Beer Company
Verna Lawson,Kenmore K̦lsch,Cape Ann Brewing
Ina Pearson,Green Monsta Ale,Paper City Brewing Company
Della Vaughn,Wachusetts IPA,John Harvard's Brew House - Framingham
Adelaide Tran,Famous Porter,Boston Beer Company
Nettie Wolfe,Samuel Adams Winter Lager,Paper City Brewing Company
Vincent Blake,UFO Raspberry Hefeweizen,Boston Beer Works
Bertie Graves,Ipswich Oatmeal Stout,New Century Brewing Company
Eunice Hale,Samuel Adams Noble Pils,Brewery at Martha's Vineyard
Joel Cain,Samuel Adams OctoberFest,Watch City Brewing
Maria Frank,IPA,Cambridge Brewing
Ray Brewer,Heather Ale,Brewery at Martha's Vineyard
Nellie Russell,Workingman's Wheat,Brewery at Martha's Vineyard
Melvin Griffith,Samuel Adams Scotch Ale,Boston Beer Works
Sam Paul,Samuel Adams Utopias MMIV,Harpoon Brewery - Boston
Augusta Henderson,1084 Barleywine,New Century Brewing Company
Tillie Jacobs,UFO Raspberry Hefeweizen,Brewery at Martha's Vineyard
Etta Hicks,Hops Explosion IPA,Boston Beer Works
Austin Newton,Holyoke Dam Ale,Brewery at Martha's Vineyard
Shawn Harmon,Longshot Hazelnut Brown,Brewery at Martha's Vineyard
Edna Dawson,Samuel Adams Imperial Stout,John Harvard's Brew House - Harvard Square
Victoria Bailey,Samuel Adams Imperial Stout,Paper City Brewing Company
Gary Owen,Raspberry Brown Ale,Paper City Brewing Company
Ruby Burton,Dark Element,Commonwealth Brewing #1
Juan Spencer,Cascade IPA,Mercury Brewing Company
Alma Walton,Framingham Maibock,John Harvard's Brew House - Framingham
Mae Holt,Holyoke Dam Ale,Paper City Brewing Company
Elsie Huff,Graduation Ale,Buzzards Bay Brewing Inc.
Leroy Cross,Samuel Adams Black Lager,Boston Beer Works
Jeanette Kennedy,Kenmore K̦lsch,Paper City Brewing Company
Theodore Bowen,Harpoon Munich Dark,Cambridge Brewing
Mabelle Hale,Workingman's Wheat,Commonwealth Brewing #1
Winifred Duncan,Golden Ale,Buzzards Bay Brewing Inc.
Gerald Todd,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Wachusetts Brewing Company
Ricky Reese,Classic Stout,Boston Beer Company
Harriet Thomas,Harpoon Winter Warmer,John Harvard's Brew House - Framingham
Jeffrey Cooper,Harpoon Brown Session Ale,John Harvard's Brew House - Harvard Square
Christine Hunt,Harpoon Munich Dark,Mercury Brewing Company
Evelyn Morales,Dark Element,Cape Ann Brewing
Brett Massey,Amber Ale,Element Brewing Company
Edith Armstrong,Samuel Adams Old Fezziwig Ale,Wachusetts Brewing Company
Theodore Pittman,Ipswich Dark Ale,John Harvard's Brew House - Framingham
Katherine Martinez,Wheaten Ale,John Harvard's Brew House - Harvard Square
Lida Clayton,Cambridge Amber,Commonwealth Brewing #1
Francisco Sutton,Samuel Adams Golden Pilsner,Element Brewing Company
Sophia Woods,Wilmington Roggen Beer,Boston Beer Works
Brent Schmidt,Green Monsta Ale,Cambridge Brewing
Rose Martin,Raspberry Brown Ale,Commonwealth Brewing #1
Jay French,Harpoon Leviathan,Boston Beer Company
Nicholas Adkins,Patriots Pilsner,Harpoon Brewery - Boston
Florence Ford,Samuel Adams Cherry Wheat,Buzzards Bay Brewing Inc.
Iva Bishop,Patriots Pilsner,Mercury Brewing Company
Marie Floyd,Workingman's Wheat,Mercury Brewing Company
Hunter George,Samuel Adams Irish Red,John Harvard's Brew House - Framingham
Donald Swanson,Harpoon Leviathan,Element Brewing Company
Jay Chandler,Samuel Adams Black Lager,Boston Beer Works
Miguel Lane,Samuel Adams OctoberFest,Element Brewing Company
Oscar Alvarado,Ipswich Summer,John Harvard's Brew House - Harvard Square
Cora Henry,Cascade IPA,Buzzards Bay Brewing Inc.
Margaret Jefferson,Massatucky Brown,Watch City Brewing
Hunter Ramirez,Samuel Adams Imperial White,Buzzards Bay Brewing Inc.
Katie Lee,Lewmeister Oktoberfest,Harpoon Brewery - Boston
Susan Jennings,Hops Explosion IPA,Element Brewing Company
Ola Jordan,Samuel Adams Irish Red,Commonwealth Brewing #1
Rosa Stokes,Dark Element,Brewery at Martha's Vineyard
Oscar Taylor,1084 Barleywine,Cape Ann Brewing
Eugenia Munoz,Samuel Adams Old Fezziwig Ale,Wachusetts Brewing Company
Kathryn Mullins,Raspberry Brown Ale,Wachusetts Brewing Company
Christian Hopkins,Ipswich Winter,Brewery at Martha's Vineyard
Lily Wilkerson,Harpoon Leviathan,Element Brewing Company
Martin Chambers,Lewmeister Oktoberfest,Wachusetts Brewing Company
John Willis,Ipswich Dark Ale,Cambridge Brewing
Ricky Maxwell,Green Monsta Ale,John Harvard's Brew House - Harvard Square
Effie Leonard,Ipswich Original Ale,John Harvard's Brew House - Framingham
Alfred Simon,Olde #8 Anniversary Ale,Watch City Brewing
Louisa Goodwin,Samuel Adams Honey Porter,Brewery at Martha's Vineyard
Lela Greene,Harpoon Brown Session Ale,Cambridge Brewing
Marguerite Bates,Honey Pilsner,Element Brewing Company
Myrtie Harvey,Harpoon Munich Dark,Element Brewing Company
Curtis Bryan,Kenmore K̦lsch,Element Brewing Company
Julia Cohen,Boltwood Bock,Commonwealth Brewing #1
Thomas Obrien,Lewmeister Oktoberfest,John Harvard's Brew House - Framingham
Bettie Luna,Ipswich Dark Ale,Cambridge Brewing
Agnes Burke,Samuel Adams White Ale,Boston Beer Works
Sean Singleton,Samuel Adams Summer Ale,Boston Beer Works
Nathan Leonard,Harpoon Brown Session Ale,Boston Beer Company
Raymond Watson,Samuel Adams Winter Lager,Element Brewing Company
Marcus Banks,Ipswich Winter,Boston Beer Company
Sarah Keller,Massatucky Brown,Cape Ann Brewing
Clyde Cole,Samuel Adams Blackberry Witbier,John Harvard's Brew House - Framingham
Julian Poole,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Buzzards Bay Brewing Inc.
Gussie Phillips,Kenmore K̦lsch,New Century Brewing Company
Jim Jensen,Ipswich Summer,Watch City Brewing
Jesse Medina,Sam Adams Light,Wachusetts Brewing Company
Edna Scott,Olde Buzzard Lager,John Harvard's Brew House - Harvard Square
Erik Rodriguez,Samuel Adams Triplebock 1994,New Century Brewing Company
