n,a,m,e,",",b,e,e,r,",",b,a,r
Dollie Rowe,Harpoon UFO Hefeweizen,Wachusetts Brewing Company
Vera Jefferson,Edison Light Beer,Harpoon Brewery - Boston
Ina Webb,Extra Stout,Buzzards Bay Brewing Inc.
Cory Miller,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Boston Beer Company
Minnie Strickland,Honey Pilsner,Harpoon Brewery - Boston
Nell Byrd,Ipswich Oatmeal Stout,Brewery at Martha's Vineyard
Connor Ruiz,Lewmeister Oktoberfest,New Century Brewing Company
Sarah Mullins,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Boston Beer Works
Victoria Frank,Samuel Adams Summer Ale,Brewery at Martha's Vineyard
Gussie Carroll,Samuel Adams Golden Pilsner,Commonwealth Brewing #1
Robert Todd,Patriots Pilsner,Boston Beer Works
Viola Murphy,Wheaten Ale,Harpoon Brewery - Boston
Luella Morales,Samuel Adams Triplebock 1994,Boston Beer Works
Ellen Munoz,Kenmore K̦lsch,Boston Beer Company
Curtis Tran,Wilmington Roggen Beer,Element Brewing Company
Iva Briggs,1084 Barleywine,Boston Beer Company
Iva Alvarez,Longshot Hazelnut Brown,Cape Ann Brewing
Adeline Buchanan,Harpoon Munich Dark,Boston Beer Company
Ida Willis,Bankers Gold,Paper City Brewing Company
Shane Allen,Samuel Adams Pale Ale,New Century Brewing Company
Mabelle Greene,Patriots Pilsner,Wachusetts Brewing Company
Marcus Bailey,Bankers Gold,Mercury Brewing Company
Sadie Patterson,Longshot Black Lager,Cape Ann Brewing
Johnny Cooper,Lewmeister Oktoberfest,Element Brewing Company
John Leonard,Hops Explosion IPA,Element Brewing Company
Lela Hughes,Samuel Adams Brown Ale,Cape Ann Brewing
Gabriel Farmer,Hercules Stong Ale,New Century Brewing Company
Carrie Cortez,Samuel Adams Irish Red,Harpoon Brewery - Boston
Zachary Peterson,Samuel Adams Imperial White,Watch City Brewing
Georgie Bush,Harpoon Munich Dark,Boston Beer Company
Catherine Sharp,Samuel Adams Brown Ale,Commonwealth Brewing #1
Frederick Tran,Cambridge Amber,Element Brewing Company
Vera Paul,Ipswich Winter,Cape Ann Brewing
Johanna Martinez,Extra Stout,Buzzards Bay Brewing Inc.
Marian Harrington,Samuel Adams Winter Lager,Commonwealth Brewing #1
Rosie Duncan,Harpoon Munich Dark,New Century Brewing Company
Lloyd McKinney,Ipswich Oatmeal Stout,Mercury Brewing Company
Theodore Rowe,Wheaten Ale,Boston Beer Company
Raymond Drake,UFO Raspberry Hefeweizen,Commonwealth Brewing #1
Caleb Tran,North Pleasant Pale Ale,Cape Ann Brewing
Etta Warren,Ipswich Nut Brown,Element Brewing Company
Virginia Riley,Samuel Adams Hefeweizen,Boston Beer Works
Mildred Becker,Harpoon UFO Hefeweizen,Element Brewing Company
Georgia McCormick,Harpoon Munich Dark,Watch City Brewing
Samuel Stevenson,Samuel Adams Hallertau Imperial Pilsner,Mercury Brewing Company
Jon Schwartz,Hard Core Crisp Apple Cider,Watch City Brewing
Jeffery Todd,Samuel Adams Cranberry Lambic,John Harvard's Brew House - Framingham
Clara Anderson,Tall Tale Pale Ale,Commonwealth Brewing #1
Myrtle Munoz,Samuel Adams Old Fezziwig Ale,Brewery at Martha's Vineyard
Amy Reese,Longshot Black Lager,Paper City Brewing Company
Mabelle Shaw,Wachusetts IPA,New Century Brewing Company
Mae Diaz,Samuel Adams Holiday Porter,John Harvard's Brew House - Framingham
Charles Price,Samuel Adams Irish Red,John Harvard's Brew House - Harvard Square
Mittie Lawrence,Massatucky Brown,New Century Brewing Company
Stella Watson,Samuel Adams Triplebock 1994,Boston Beer Company
Jeff Walsh,Samuel Adams Triplebock 1995,Cape Ann Brewing
Trevor Stephens,Patriots Pilsner,Watch City Brewing
Dorothy Griffith,Samuel Adams Old Fezziwig Ale,Paper City Brewing Company
Charles Palmer,Olde #8 Anniversary Ale,Cape Ann Brewing
Max Brock,Cascade IPA,Cambridge Brewing
Mina Gomez,Fenway American Pale Ale,Harpoon Brewery - Boston
Annie Potter,Samuel Adams Hallertau Imperial Pilsner,Buzzards Bay Brewing Inc.
Lela Silva,Samuel Adams Spring Ale,Commonwealth Brewing #1
Irene Mack,Samuel Adams Holiday Porter,Boston Beer Works
Brandon Holloway,Bankers Gold,Harpoon Brewery - Boston
Beatrice Ballard,Heather Ale,Brewery at Martha's Vineyard
Willie Frank,Heather Ale,Wachusetts Brewing Company
Albert Zimmerman,Samuel Adams Golden Pilsner,Harpoon Brewery - Boston
Henry Matthews,Two Sisters Imperial Stout,John Harvard's Brew House - Framingham
Estella Cohen,Wachusetts IPA,Cambridge Brewing
Francis Malone,Ipswich Dark Ale,Cape Ann Brewing
Austin Casey,Samuel Adams Chocolate Bock,John Harvard's Brew House - Framingham
Don Meyer,Samuel Adams Pale Ale,Watch City Brewing
Devin Simmons,Golden Ale,Wachusetts Brewing Company
Miguel Miles,Samuel Adams Scotch Ale,Mercury Brewing Company
Leila Mendez,Two Sisters Imperial Stout,Boston Beer Company
Ethan Parks,Ipswich Summer,Commonwealth Brewing #1
Sadie Pearson,Ipswich Porter,Mercury Brewing Company
Gary Vargas,Samuel Adams Brown Ale,New Century Brewing Company
Georgie Day,Ipswich Nut Brown,Harpoon Brewery - Boston
Wesley Townsend,Amber Ale,Commonwealth Brewing #1
Abbie Thomas,Dark Element,Boston Beer Works
Nathan Fuller,Harpoon Brown Session Ale,Element Brewing Company
Ernest Grant,Samuel Adams Utopias MMIV,Harpoon Brewery - Boston
Randall Roberts,Harpoon Leviathan,Mercury Brewing Company
Ivan Hopkins,Amber Ale,Mercury Brewing Company
Maggie Henderson,Samuel Adams Imperial White,Paper City Brewing Company
Ola Page,Harpoon Brown Session Ale,Paper City Brewing Company
Theresa Craig,Cascade IPA,Cambridge Brewing
Warren Bowers,Samuel Adams Imperial White,Commonwealth Brewing #1
Nannie Norton,Samuel Adams Hallertau Imperial Pilsner,Boston Beer Company
Isaiah Bailey,Tall Tale Pale Ale,Boston Beer Works
Tom Arnold,North Pleasant Pale Ale,Harpoon Brewery - Boston
Sara Yates,Heather Ale,Boston Beer Company
Billy Johnson,Samuel Adams White Ale,John Harvard's Brew House - Framingham
Nettie Gilbert,Samuel Adams Golden Pilsner,Harpoon Brewery - Boston
Henrietta Parsons,Famous Porter,New Century Brewing Company
Beatrice McGee,Samuel Adams Honey Porter,Commonwealth Brewing #1
Glenn McKenzie,Samuel Adams Black Lager,Paper City Brewing Company
Ella Christensen,Ipswich Original Ale,Commonwealth Brewing #1
Inez Andrews,Cascade IPA,Mercury Brewing Company
Johnny Collier,Samuel Adams Black Lager,Mercury Brewing Company
Jennie Erickson,Half in the Bagpipe,New Century Brewing Company
Augusta Nichols,Green Monsta Ale,Brewery at Martha's Vineyard
Randy Ballard,Regatta Golden,John Harvard's Brew House - Framingham
Nathan Jefferson,Workingman's Wheat,Mercury Brewing Company
Lydia Blake,Samuel Adams OctoberFest,Brewery at Martha's Vineyard
Henrietta Brock,Massatucky Brown,Boston Beer Works
Lewis Burke,Samuel Adams Cherry Wheat,Element Brewing Company
Bradley Carson,Righteous Red,John Harvard's Brew House - Framingham
Margaret Banks,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Watch City Brewing
Hannah Fletcher,Samuel Adams Boston Ale,Element Brewing Company
Jon Romero,Samuel Adams White Ale,Cape Ann Brewing
Amy Huff,UFO Raspberry Hefeweizen,Boston Beer Works
Adelaide Owens,Samuel Adams Cranberry Lambic,Boston Beer Company
Sally Goodwin,Workingman's Wheat,New Century Brewing Company
Stella Ball,Samuel Adams Spring Ale,Boston Beer Works
Lydia Gonzales,Lewmeister Oktoberfest,Commonwealth Brewing #1
Johnny McCarthy,IPA,John Harvard's Brew House - Framingham
Todd Rodgers,Ipswich Summer,Wachusetts Brewing Company
Marie Sandoval,Wachusetts IPA,Brewery at Martha's Vineyard
Lloyd Rodgers,Holyoke Dam Ale,Cape Ann Brewing
Andre Reeves,Holyoke Dam Ale,Harpoon Brewery - Boston
Barbara Price,UFO Raspberry Hefeweizen,Cape Ann Brewing
Bettie West,Longshot Black Lager,New Century Brewing Company
Alex Nash,Ipswich IPA,Boston Beer Company
Ora Powers,Samuel Adams Triplebock 1995,John Harvard's Brew House - Harvard Square
Daniel Reid,Samuel Adams Imperial White,Commonwealth Brewing #1
Raymond Jackson,Raspberry Brown Ale,Wachusetts Brewing Company
Rosetta Briggs,Puffers Smoked Porter,Cape Ann Brewing
Lucy Brooks,Samuel Adams Noble Pils,John Harvard's Brew House - Harvard Square
Zachary Watts,Workingman's Wheat,Mercury Brewing Company
Roy Evans,Samuel Adams Scotch Ale,John Harvard's Brew House - Harvard Square
Rebecca Garner,IPA,Wachusetts Brewing Company
Ina Reeves,Samuel Adams Cranberry Lambic,Paper City Brewing Company
Mildred Pierce,Edison Light Beer,Cape Ann Brewing
Alejandro Vasquez,Extra Stout,Element Brewing Company
Ethan Lowe,Hops Explosion IPA,John Harvard's Brew House - Harvard Square
Travis Carr,Olde Buzzard Lager,Cambridge Brewing
Ray Munoz,Samuel Adams Spring Ale,New Century Brewing Company
Myra Gonzales,Samuel Adams Triplebock 1995,Brewery at Martha's Vineyard
Delia Lawson,Workingman's Wheat,Cape Ann Brewing
Marcus Clayton,Massatucky Brown,John Harvard's Brew House - Harvard Square
Herman Dennis,Regatta Golden,Watch City Brewing
Mamie Guzman,Charles River Porter,Harpoon Brewery - Boston
Lida Edwards,Harpoon Munich Dark,John Harvard's Brew House - Framingham
Barry Banks,Samuel Adams Holiday Porter,Watch City Brewing
Herman Norton,Samuel Adams Cream Stout,Brewery at Martha's Vineyard
Jack Wilkerson,Charles River Porter,Harpoon Brewery - Boston
Irene Morris,Hops Explosion IPA,New Century Brewing Company
Derek Newton,Charles River Porter,John Harvard's Brew House - Framingham
Lucas Quinn,Samuel Adams Boston Ale,New Century Brewing Company
Jacob Fleming,Samuel Adams Noble Pils,Harpoon Brewery - Boston
Minerva Robinson,Amber Ale,Cambridge Brewing
Evan Palmer,Samuel Adams Cranberry Lambic,Mercury Brewing Company
Christian Bates,Samuel Adams Summer Ale,John Harvard's Brew House - Framingham
Logan Greene,Samuel Adams Cream Stout,John Harvard's Brew House - Harvard Square
Barbara Malone,Special Old Ale,Boston Beer Works
Steve Ortiz,Ipswich Porter,Cambridge Brewing
Cameron Higgins,Harpoon Brown Session Ale,Wachusetts Brewing Company
Mark Blake,Samuel Adams OctoberFest,Harpoon Brewery - Boston
Roger Glover,Samuel Adams Black Lager,John Harvard's Brew House - Harvard Square
Delia Burns,Samuel Adams Utopias MMIV,Commonwealth Brewing #1
Marc Ellis,Samuel Adams Boston Lager,Element Brewing Company
Steven Strickland,Patriots Pilsner,Wachusetts Brewing Company
Florence Bowen,Samuel Adams Winter Lager,Commonwealth Brewing #1
Charlie Stevens,Wheaten Ale,John Harvard's Brew House - Harvard Square
Larry Porter,Samuel Adams OctoberFest,Mercury Brewing Company
Helena Simmons,Samuel Adams Triplebock 1994,Watch City Brewing
Jeremiah Ruiz,Graduation Ale,Boston Beer Works
Ina Schmidt,Raspberry Brown Ale,Commonwealth Brewing #1
Daniel Atkins,Wachusetts IPA,New Century Brewing Company
Herbert Wilkins,Amber Ale,Element Brewing Company
Luis McKenzie,Heather Ale,Boston Beer Works
Joe Patton,Samuel Adams Cranberry Lambic,New Century Brewing Company
Viola Keller,Hercules Stong Ale,Harpoon Brewery - Boston
Frederick Sparks,Samuel Adams Summer Ale,John Harvard's Brew House - Harvard Square
Philip Gibbs,Holyoke Dam Ale,Element Brewing Company
Ethan Day,Ipswich Porter,Mercury Brewing Company
Allen Lynch,Hercules Stong Ale,Wachusetts Brewing Company
Victor Schmidt,Ipswich Oatmeal Stout,Boston Beer Company
Herman Beck,Hercules Stong Ale,Wachusetts Brewing Company
Georgie Vaughn,Samuel Adams Spring Ale,Brewery at Martha's Vineyard
Virginia Figueroa,Samuel Adams Coastal Wheat,Cape Ann Brewing
Essie Ferguson,Harpoon UFO Hefeweizen,Cambridge Brewing
Luella Carpenter,Hard Core Crisp Apple Cider,Harpoon Brewery - Boston
Jay Harper,Ipswich IPA,Element Brewing Company
Mollie Singleton,Tall Tale Pale Ale,Buzzards Bay Brewing Inc.
Bettie Newton,Wheaten Ale,Paper City Brewing Company
Lettie Banks,Samuel Adams Double Bock,Boston Beer Works
Clifford Sutton,Golden Ale,Watch City Brewing
Francis Harper,Longshot Hazelnut Brown,Paper City Brewing Company
Cody Austin,Half in the Bagpipe,Harpoon Brewery - Boston
Blanche McKinney,Regatta Golden,Element Brewing Company
Rodney Alvarado,Samuel Adams Black Lager,Buzzards Bay Brewing Inc.
Hunter Fletcher,Dark Element,Cambridge Brewing
Elizabeth Bush,Longshot American Pale Ale,Harpoon Brewery - Boston
Bernard Rice,Samuel Adams White Ale,Commonwealth Brewing #1
Mamie Cohen,Honey Pilsner,John Harvard's Brew House - Harvard Square
Oscar Padilla,Samuel Adams Winter Lager,Boston Beer Company
Aiden Kim,Samuel Adams Hallertau Imperial Pilsner,Harpoon Brewery - Boston
Jayden Conner,Ipswich Summer,Element Brewing Company
Leila Gill,Boston Red,Paper City Brewing Company
Adrian Farmer,Samuel Adams OctoberFest,Mercury Brewing Company
Clifford Castro,Ipswich Summer,John Harvard's Brew House - Framingham
Kathryn Morton,Tall Tale Pale Ale,Buzzards Bay Brewing Inc.
Don Dunn,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Cambridge Brewing
Nicholas Bowen,Hercules Stong Ale,John Harvard's Brew House - Harvard Square
Owen Allen,Samuel Adams Blackberry Witbier,Watch City Brewing
Randy Allen,Samuel Adams Double Bock,Commonwealth Brewing #1
Polly Griffith,Samuel Adams Old Fezziwig Ale,Commonwealth Brewing #1
Clayton Scott,Hops Explosion IPA,Buzzards Bay Brewing Inc.
Evelyn Mason,Ipswich Summer,John Harvard's Brew House - Harvard Square
Janie Bryant,Samuel Adams Blackberry Witbier,Watch City Brewing
Della Bass,Samuel Adams Boston Ale,Buzzards Bay Brewing Inc.
Fred Hanson,Olde #8 Anniversary Ale,New Century Brewing Company
Nell Clarke,Ipswich Original Ale,Boston Beer Works
Hilda Gilbert,Longshot Black Lager,Commonwealth Brewing #1
Chris Spencer,Samuel Adams Boston Lager,Commonwealth Brewing #1
Francis Farmer,Famous Porter,Buzzards Bay Brewing Inc.
Rena Mason,Wheaten Ale,John Harvard's Brew House - Harvard Square
Janie Cunningham,Honey Pilsner,Mercury Brewing Company
Delia Carter,Samuel Adams Imperial White,Cape Ann Brewing
Daniel Gonzalez,Samuel Adams Brown Ale,Commonwealth Brewing #1
Susie West,Samuel Adams Triplebock 1994,John Harvard's Brew House - Harvard Square
Tyler Coleman,Samuel Adams Boston Ale,John Harvard's Brew House - Harvard Square
Herman Keller,Ipswich Oatmeal Stout,John Harvard's Brew House - Harvard Square
Tom Lyons,Samuel Adams Winter Lager,Cambridge Brewing
Elmer Rhodes,Massatucky Brown,Commonwealth Brewing #1
Georgie Edwards,Boston Red,Commonwealth Brewing #1
Julia Rhodes,Longshot Hazelnut Brown,Boston Beer Works
Melvin Schmidt,Samuel Adams Boston Ale,Watch City Brewing
Marvin Delgado,Regatta Golden,New Century Brewing Company
Polly Knight,Samuel Adams Boston Lager,Paper City Brewing Company
Owen Lee,Sam Adams Light,Brewery at Martha's Vineyard
Jorge Graves,Ipswich Oatmeal Stout,Boston Beer Company
Noah Carson,Samuel Adams Scotch Ale,Watch City Brewing
Mabelle Blair,Harpoon Celtic Ale,Watch City Brewing
Lawrence Washington,Special Old Ale,Cambridge Brewing
Norman Neal,Ipswich IPA,Harpoon Brewery - Boston
Cornelia Mack,Samuel Adams White Ale,Harpoon Brewery - Boston
Sally Thompson,Graduation Ale,Buzzards Bay Brewing Inc.
Justin Cole,Samuel Adams Spring Ale,Boston Beer Company
Arthur Ortega,Honey Pilsner,John Harvard's Brew House - Harvard Square
Pearl Fletcher,Samuel Adams Winter Lager,John Harvard's Brew House - Framingham
Hunter Wong,Patriots Pilsner,Harpoon Brewery - Boston
Frank Goodwin,Graduation Ale,Boston Beer Company
Cornelia Dixon,Two Sisters Imperial Stout,Brewery at Martha's Vineyard
Shane Holmes,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Paper City Brewing Company
Marvin Pearson,Samuel Adams Winter Lager,John Harvard's Brew House - Framingham
Steve Hansen,Samuel Adams Triplebock 1994,Cambridge Brewing
Joseph Singleton,Longshot Black Lager,Boston Beer Company
Emily Little,Samuel Adams Triplebock 1994,Cambridge Brewing
Amy Reid,Samuel Adams Cherry Wheat,John Harvard's Brew House - Framingham
Harriet Bush,Samuel Adams Cherry Wheat,John Harvard's Brew House - Harvard Square
Albert Burgess,Samuel Adams Imperial Stout,Element Brewing Company
Abbie Strickland,Wilmington Roggen Beer,Cape Ann Brewing
Lester Reyes,Samuel Adams Boston Lager,John Harvard's Brew House - Framingham
Blanche Peterson,Ipswich Oatmeal Stout,Watch City Brewing
Nellie Carr,Massatucky Brown,Cape Ann Brewing
Virgie Drake,Ipswich Original Ale,Boston Beer Company
Ralph Gonzales,Puffers Smoked Porter,Cambridge Brewing
Cameron Griffin,Samuel Adams Hefeweizen,Paper City Brewing Company
Bobby Burton,Green Monsta Ale,John Harvard's Brew House - Harvard Square
Irene Wagner,Bankers Gold,Element Brewing Company
Adrian Morrison,Samuel Adams Pale Ale,New Century Brewing Company
Mathilda Diaz,Ipswich Oatmeal Stout,Cape Ann Brewing
Adele Butler,Kenmore K̦lsch,Cambridge Brewing
Rebecca Burgess,Sam Adams Light,Paper City Brewing Company
George Joseph,Longshot American Pale Ale,Brewery at Martha's Vineyard
Thomas Clayton,Ipswich Porter,Brewery at Martha's Vineyard
Jimmy Munoz,Ipswich Porter,Boston Beer Works
Jared Cruz,Golden Ale,Element Brewing Company
Shane Gibbs,Extra Stout,Harpoon Brewery - Boston
Erik Lynch,Boltwood Bock,Buzzards Bay Brewing Inc.
Dennis Dawson,Harpoon Munich Dark,New Century Brewing Company
Verna Lawson,Green Monsta Ale,Mercury Brewing Company
Ina Pearson,Honey Pilsner,Buzzards Bay Brewing Inc.
Della Vaughn,Holyoke Dam Ale,Wachusetts Brewing Company
Adelaide Tran,Half in the Bagpipe,Boston Beer Company
Nettie Wolfe,Samuel Adams Utopias MMIV,Wachusetts Brewing Company
Vincent Blake,Ipswich Summer,John Harvard's Brew House - Harvard Square
Bertie Graves,Ipswich Harvest,Cambridge Brewing
Eunice Hale,Dark Element,Cape Ann Brewing
Joel Cain,Charles River Porter,Harpoon Brewery - Boston
Maria Frank,Amber Ale,John Harvard's Brew House - Harvard Square
Ray Brewer,Samuel Adams Honey Porter,Element Brewing Company
Nellie Russell,Boston Red,Mercury Brewing Company
Melvin Griffith,Hard Core Crisp Apple Cider,Brewery at Martha's Vineyard
Sam Paul,Massatucky Brown,Paper City Brewing Company
Augusta Henderson,North Pleasant Pale Ale,Paper City Brewing Company
Tillie Jacobs,Samuel Adams Hefeweizen,Cape Ann Brewing
Etta Hicks,Ipswich Original Ale,John Harvard's Brew House - Framingham
Austin Newton,IPA,Paper City Brewing Company
Shawn Harmon,Longshot American Pale Ale,Buzzards Bay Brewing Inc.
Edna Dawson,Special Old Ale,Harpoon Brewery - Boston
Victoria Bailey,Longshot American Pale Ale,Cape Ann Brewing
Gary Owen,Kenmore K̦lsch,Harpoon Brewery - Boston
Ruby Burton,Righteous Red,Brewery at Martha's Vineyard
Juan Spencer,Samuel Adams Chocolate Bock,Mercury Brewing Company
Alma Walton,Two Sisters Imperial Stout,Boston Beer Works
Mae Holt,Harpoon Leviathan,Paper City Brewing Company
Elsie Huff,Buckeye Oatmeal Stout,John Harvard's Brew House - Harvard Square
Leroy Cross,Samuel Adams Chocolate Bock,Brewery at Martha's Vineyard
Jeanette Kennedy,Samuel Adams Triplebock 1994,Boston Beer Company
Theodore Bowen,Longshot American Pale Ale,Element Brewing Company
Mabelle Hale,IPA,Commonwealth Brewing #1
Winifred Duncan,Samuel Adams Old Fezziwig Ale,Element Brewing Company
Gerald Todd,Cambridge Amber,Paper City Brewing Company
Ricky Reese,Samuel Adams Coastal Wheat,Paper City Brewing Company
Harriet Thomas,Samuel Adams Blackberry Witbier,Wachusetts Brewing Company
Jeffrey Cooper,Samuel Adams Black Lager,Cambridge Brewing
Christine Hunt,Extra Stout,John Harvard's Brew House - Harvard Square
Evelyn Morales,Samuel Adams Chocolate Bock,Boston Beer Company
Brett Massey,Wachusetts IPA,Wachusetts Brewing Company
Edith Armstrong,Samuel Adams Double Bock,Element Brewing Company
Theodore Pittman,Regatta Golden,Boston Beer Works
Katherine Martinez,Classic Stout,Boston Beer Company
Lida Clayton,Puffers Smoked Porter,John Harvard's Brew House - Harvard Square
Francisco Sutton,Extra Stout,Cambridge Brewing
Sophia Woods,Harpoon Munich Dark,Brewery at Martha's Vineyard
Brent Schmidt,Longshot Hazelnut Brown,Element Brewing Company
Rose Martin,Samuel Adams Winter Lager,Boston Beer Company
Jay French,Harpoon Brown Session Ale,Watch City Brewing
Nicholas Adkins,Samuel Adams Scotch Ale,Cape Ann Brewing
Florence Ford,1084 Barleywine,Boston Beer Company
Iva Bishop,Bankers Gold,John Harvard's Brew House - Framingham
Marie Floyd,Samuel Adams Cranberry Lambic,Wachusetts Brewing Company
Hunter George,Hops Explosion IPA,New Century Brewing Company
Donald Swanson,UFO Raspberry Hefeweizen,John Harvard's Brew House - Framingham
Jay Chandler,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),Element Brewing Company
Miguel Lane,Samuel Adams Black Lager,Boston Beer Company
Oscar Alvarado,Ipswich Nut Brown,Harpoon Brewery - Boston
Cora Henry,Ipswich Winter,Boston Beer Company
Margaret Jefferson,Famous Porter,Cape Ann Brewing
Hunter Ramirez,Lewmeister Oktoberfest,Paper City Brewing Company
Katie Lee,Ipswich Summer,Mercury Brewing Company
Susan Jennings,Samuel Adams Pale Ale,John Harvard's Brew House - Harvard Square
Ola Jordan,Cascade IPA,Mercury Brewing Company
Rosa Stokes,Two Sisters Imperial Stout,John Harvard's Brew House - Framingham
Oscar Taylor,Samuel Adams Hallertau Imperial Pilsner,Brewery at Martha's Vineyard
Eugenia Munoz,Samuel Adams Scotch Ale,Mercury Brewing Company
Kathryn Mullins,Ipswich Porter,Boston Beer Works
Christian Hopkins,Samuel Adams Imperial White,John Harvard's Brew House - Framingham
Lily Wilkerson,Samuel Adams Spring Ale,Buzzards Bay Brewing Inc.
Martin Chambers,Longshot American Pale Ale,John Harvard's Brew House - Harvard Square
John Willis,Honey Pilsner,Boston Beer Works
Ricky Maxwell,Samuel Adams Scotch Ale,Boston Beer Company
Effie Leonard,Samuel Adams Old Fezziwig Ale,Brewery at Martha's Vineyard
Alfred Simon,Fenway American Pale Ale,John Harvard's Brew House - Harvard Square
Louisa Goodwin,Honey Pilsner,Watch City Brewing
Lela Greene,Graduation Ale,Harpoon Brewery - Boston
Marguerite Bates,Samuel Adams Winter Lager,Harpoon Brewery - Boston
Myrtie Harvey,Longshot Hazelnut Brown,Cambridge Brewing
Curtis Bryan,Longshot Hazelnut Brown,John Harvard's Brew House - Harvard Square
Julia Cohen,Samuel Adams Noble Pils,Cambridge Brewing
Thomas Obrien,Samuel Adams Cranberry Lambic,Boston Beer Company
Bettie Luna,IPA,Boston Beer Company
Agnes Burke,Green Monsta Ale,Harpoon Brewery - Boston
Sean Singleton,Amber Ale,Cape Ann Brewing
Nathan Leonard,Longshot Black Lager,New Century Brewing Company
Raymond Watson,Harpoon Celtic Ale,Paper City Brewing Company
Marcus Banks,Longshot Hazelnut Brown,Cape Ann Brewing
Sarah Keller,Olde Buzzard Lager,New Century Brewing Company
Clyde Cole,Hercules Stong Ale,Watch City Brewing
Julian Poole,Harpoon UFO Hefeweizen,Harpoon Brewery - Boston
Gussie Phillips,Samuel Adams Black Lager,Element Brewing Company
Jim Jensen,Longshot Black Lager,Brewery at Martha's Vineyard
